运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
旧LF同源,630.5,冷端,绝对温度,"(100,200]秒",0.6967531942928917,0.653709716796875,-0.6475390625,0.8580322265625,50,实际观测
旧LF同源,630.5,冷端,真实首时刻温升,全部合法观测,0.936909750094233,0.80838623046875,-0.7476957194010416,1.539581298828125,150,实际观测
旧LF同源,630.5,冷端,真实首时刻温升,"[0,30]秒",0.2988006997872958,0.277044677734375,0.026407877604166668,0.3939208984375,30,实际观测
旧LF同源,630.5,冷端,真实首时刻温升,"(30,100]秒",0.7305560887238818,0.6641741071428572,-0.6641741071428572,1.328826904296875,70,实际观测
旧LF同源,630.5,冷端,真实首时刻温升,"(100,200]秒",1.353747925674768,1.329088134765625,-1.329088134765625,1.539581298828125,50,实际观测
空间LF同源,115.2,顶部,绝对温度,全部合法观测,2.6705237632572936,2.2655048698357705,-1.6918740801788854,5.04351806640625,,实际观测
空间LF同源,115.2,顶部,绝对温度,"[0,30]秒",2.544279342502241,2.151955783957302,-1.9286250249780836,5.04351806640625,,实际观测
空间LF同源,115.2,顶部,绝对温度,"(30,100]秒",2.726814811174476,2.3179085143903513,-1.5825982308079065,4.98602294921875,,实际观测
空间LF同源,115.2,顶部,绝对温度,"(100,200]秒",,,,,,无数据
空间LF同源,115.2,热端,绝对温度,全部合法观测,0.9964665040728155,0.9873309326171875,-0.9873309326171875,1.114105224609375,100,实际观测
空间LF同源,115.2,热端,绝对温度,"[0,30]秒",0.8155994425323781,0.8085825602213542,-0.8085825602213542,0.998870849609375,30,实际观测
空间LF同源,115.2,热端,绝对温度,"(30,100]秒",1.0646157982653786,1.0639373779296875,-1.0639373779296875,1.114105224609375,70,实际观测
空间LF同源,115.2,热端,绝对温度,"(100,200]秒",,,,,0,无数据
空间LF同源,115.2,热端,真实首时刻温升,全部合法观测,0.34860235511280346,0.3217462158203125,-0.3215594482421875,0.448333740234375,100,实际观测
空间LF同源,115.2,热端,真实首时刻温升,"[0,30]秒",0.1783022640052541,0.14343363444010418,-0.14281107584635416,0.333099365234375,30,实际观测
空间LF同源,115.2,热端,真实首时刻温升,"(30,100]秒",0.39997516491719,0.3981658935546875,-0.3981658935546875,0.448333740234375,70,实际观测
空间LF同源,115.2,热端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
空间LF同源,115.2,冷端,绝对温度,全部合法观测,0.49543120565838256,0.45883209228515626,-0.45883209228515626,0.636077880859375,100,实际观测
空间LF同源,115.2,冷端,绝对温度,"[0,30]秒",0.22790219441591578,0.197027587890625,-0.197027587890625,0.41668701171875,30,实际观测
空间LF同源,115.2,冷端,绝对温度,"(30,100]秒",0.5730498064544547,0.5710340227399554,-0.5710340227399554,0.636077880859375,70,实际观测
空间LF同源,115.2,冷端,绝对温度,"(100,200]秒",,,,,0,无数据
空间LF同源,115.2,冷端,真实首时刻温升,全部合法观测,0.4418022357069884,0.40034942626953124,-0.40032989501953126,0.57757568359375,100,实际观测
