运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,250.0,Cu,"(30,100]秒",轴对称有限元集总真实体积,1.4662274478189194,1.1902270853673278,0.7625420636331178,6.5853271484375,28735,0.009746291994815692
原始LF_B0,250.0,Cu,"(100,200]秒",节点等权,1.9323702926504165,1.4759553734132347,-0.011723677417973508,6.92596435546875,41050,0.009746291994815692
原始LF_B0,250.0,Cu,"(100,200]秒",轴对称有限元集总真实体积,1.4079769867040532,1.076386886584388,0.6034466529979031,6.92596435546875,41050,0.009746291994815692
原始LF_B0,250.0,SiC,全时段,节点等权,5.930911686782171,5.311990769985404,-5.273171976151942,16.110931396484375,34138,0.009746291994815692
原始LF_B0,250.0,SiC,全时段,轴对称有限元集总真实体积,4.805552709243343,4.293930427221307,-4.251179688432837,16.110931396484375,34138,0.009746291994815692
原始LF_B0,250.0,SiC,"[0,30]秒",节点等权,4.493332195228825,3.7746470129701515,-3.543819421847191,15.815887451171875,5408,0.009746291994815692
原始LF_B0,250.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,3.632089506947925,3.0123688334982837,-2.756066122025665,15.815887451171875,5408,0.009746291994815692
原始LF_B0,250.0,SiC,"(30,100]秒",节点等权,6.231410917215361,5.824661832730445,-5.823527512667246,15.08599853515625,11830,0.009746291994815692
原始LF_B0,250.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,5.307260229309502,4.942225334155255,-4.941104993943296,15.08599853515625,11830,0.009746291994815692
原始LF_B0,250.0,SiC,"(100,200]秒",节点等权,6.116599772649486,5.445071028308756,-5.44131591796875,16.110931396484375,16900,0.009746291994815692
原始LF_B0,250.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,4.765518742031884,4.25022370235891,-4.24666831582581,16.110931396484375,16900,0.009746291994815692
原始LF_B0,330.0,Cu,全时段,节点等权,2.4880096897642385,2.031408505108472,0.38037992394080755,8.99273681640625,82921,0.012633279999135993
