种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,实测点数,实际时刻数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称
4,best,validation,630.5,Hot,150,150,2.202494420548892,2.0310174560546876,2.0310174560546876,3.3703125,5.279296875,1.6092802739718084,1.4356016031901042,-1.3652227783203126,2.5798019409179687,2.618133544921875,5.279296875,,热环,观测最佳
4,best,validation,115.2,Cold,100,100,1.1255605448240393,0.9241488647460938,0.6434494018554688,2.084320068359375,2.181976318359375,1.4026100723431567,1.1428744506835937,-1.0556777954101562,2.3545303344726562,2.421844482421875,0.471923828125,,冷环,观测最佳
4,best,validation,403.0,Cold,126,126,3.231285847303394,3.2279185946025546,3.2279185946025546,3.5061264038085938,3.558013916015625,0.19147229443479505,0.14337182423425102,0.12211415124317955,0.40032196044921875,0.45220947265625,3.558013916015625,,冷环,观测最佳
4,best,validation,630.5,Cold,150,150,3.237781233556532,3.2312400309244795,3.2312400309244795,3.6448181152343744,3.824310302734375,0.2364925182791109,0.17655741373697917,0.11667704264322917,0.5302551269531243,0.709747314453125,3.824310302734375,,冷环,观测最佳
4,final,validation,115.2,Top,1919,19,4.7633055458896285,4.6355857988271065,-4.6355857988271065,6.269723510742187,7.26177978515625,1.39798631514786,1.0197300197806065,0.7371930653630228,2.9817626953125,4.742889404296875,-5.16107177734375,,顶部,训练末
4,final,validation,403.0,Top,2424,24,2.873966818354165,2.0793791091001683,-0.7226458018534453,6.997653198242182,10.122711181640625,8.187939119140983,7.714932732201175,-7.714932732201175,10.746829223632812,11.532684326171875,-1.3411865234375,,顶部,训练末
4,final,validation,630.5,Top,2929,29,7.691908476436138,6.135502698793525,-3.6385755334595675,15.667602539062498,26.482421875,15.808845444723865,14.769504658729266,-14.769325848927926,20.076300048828124,23.339019775390625,-2.4248046875,,顶部,训练末
4,final,validation,115.2,Hot,100,100,0.7956733218385661,0.7636260986328125,0.7633386230468749,1.1500396728515625,1.25665283203125,0.7815141744050865,0.749422607421875,0.748568115234375,1.1352691650390625,1.24188232421875,0.76904296875,,热环,训练末
4,final,validation,403.0,Hot,126,126,0.43987050146278645,0.3859085809616815,0.09802270314050097,0.8789596557617188,0.992950439453125,0.4618023317405892,0.41537015400235616,-0.171416994125124,0.651458740234375,0.7235107421875,-0.041015625,,热环,训练末
4,final,validation,630.5,Hot,150,150,2.6427201614413875,2.5035561116536464,2.5035561116536464,3.6349136352539055,3.719879150390625,1.9731515298288334,1.7824562581380208,1.7824562581380208,2.9138137817382805,2.998779296875,3.466156005859375,,热环,训练末
4,final,validation,115.2,Cold,100,100,0.6555917409788743,0.539495849609375,-0.30449951171874995,1.1414596557617187,1.18402099609375,0.9322546546786553,0.758175048828125,-0.729395751953125,1.5663558959960937,1.608917236328125,-0.575897216796875,,冷环,训练末
4,final,validation,403.0,Cold,126,126,0.5352006193264501,0.47438194638206843,-0.3508574470641121,0.765350341796875,0.76885986328125,0.5780375889016448,0.5079769558376735,-0.41326589432973715,0.8277587890625,0.831268310546875,-0.663787841796875,,冷环,训练末
4,final,validation,630.5,Cold,150,150,0.6770600551659873,0.5516094970703125,0.4601369222005209,1.1476577758789062,1.18701171875,0.49857550433160713,0.45521219889322917,0.043510945638020854,0.7310317993164062,0.7703857421875,0.6944580078125,,冷环,训练末
