种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,时间窗原标识,下界_秒,上界_秒,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,时间窗中文名称
2,best,validation,403.0,Hot,time_0_30_s,0.0,30.0,True,True,30,0.45278794942190786,0.38593037923177087,0.38593037923177087,0.8671295166015625,0.895965576171875,0.3422293415264441,0.2494639078776042,0.24707539876302087,0.7282745361328125,0.757110595703125,0.10302734375,,热环,观测最佳,"[0,30]秒"
2,best,validation,403.0,Hot,time_30_100_s,30.0,100.0,False,True,70,0.2582152743796471,0.2436667306082589,0.2436667306082589,0.3974136352539062,0.416168212890625,0.13523000881810757,0.10902317592075894,0.10481175013950894,0.2585586547851562,0.277313232421875,0.232696533203125,,热环,观测最佳,"(30,100]秒"
2,best,validation,403.0,Hot,time_100_200_s,100.0,200.0,False,True,26,0.47735971475946554,0.43973834698016834,0.43973834698016834,0.7861099243164062,0.84747314453125,0.3536004577395679,0.30088336651141834,0.30088336651141834,0.6472549438476562,0.7086181640625,0.84747314453125,,热环,观测最佳,"(100,200]秒"
2,best,validation,630.5,Hot,time_0_30_s,0.0,30.0,True,True,30,0.3073097549653617,0.2562967936197917,0.03854777018229166,0.5576385498046871,0.62725830078125,0.4679796310612856,0.399456787109375,-0.35503743489583334,0.7176437377929688,0.791229248046875,0.036712646484375,,热环,观测最佳,"[0,30]秒"
2,best,validation,630.5,Hot,time_30_100_s,30.0,100.0,False,True,70,0.7451493792051702,0.6201725551060266,-0.5008531842912946,1.3119186401367187,1.398345947265625,1.0509108989314377,0.8944383893694196,-0.8944383893694196,1.7055038452148437,1.79193115234375,-1.341064453125,,热环,观测最佳,"(30,100]秒"
2,best,validation,630.5,Hot,time_100_200_s,100.0,200.0,False,True,50,1.350516392799153,1.2037097167968749,-0.288284912109375,2.3220108032226556,2.80743408203125,1.4851710990261764,1.3524450683593752,-0.6818701171875001,1.9640899658203121,2.413848876953125,2.80743408203125,,热环,观测最佳,"(100,200]秒"
2,best,validation,115.2,Cold,time_0_30_s,0.0,30.0,True,True,30,0.7218277530901862,0.6302256266276042,-0.5910878499348958,1.254890441894531,1.322998046875,0.9409884192851873,0.8448720296223957,-0.8448720296223957,1.508674621582031,1.5767822265625,-1.1728515625,,冷环,观测最佳,"[0,30]秒"
2,best,validation,115.2,Cold,time_30_100_s,30.0,100.0,False,True,70,1.9800568935722795,1.924655151367187,-1.924655151367187,2.7302597045898436,2.805267333984375,2.227538051119408,2.1784393310546872,-2.1784393310546872,2.9840438842773436,3.059051513671875,-1.7816162109375,,冷环,观测最佳,"(30,100]秒"
2,best,validation,115.2,Cold,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,冷环,观测最佳,"(100,200]秒"
2,best,validation,403.0,Cold,time_0_30_s,0.0,30.0,True,True,30,0.1629260302372255,0.12892150878906253,-0.07421366373697914,0.33098297119140624,0.371185302734375,0.1450536369908838,0.12289530436197914,-0.0018259684244791652,0.25859527587890624,0.298797607421875,-0.271148681640625,,冷环,观测最佳,"[0,30]秒"
2,best,validation,403.0,Cold,time_30_100_s,30.0,100.0,False,True,70,0.4375612048233214,0.43400181361607143,-0.43400181361607143,0.5168533325195312,0.523468017578125,0.3658784009761532,0.36161411830357143,-0.36161411830357143,0.44446563720703125,0.451080322265625,-0.380859375,,冷环,观测最佳,"(30,100]秒"
2,best,validation,403.0,Cold,time_100_200_s,100.0,200.0,False,True,26,0.22347530650933206,0.20014014610877404,-0.20014014610877404,0.349853515625,0.370758056640625,0.16188212754795667,0.13179955115685096,-0.12775245079627406,0.2774658203125,0.298370361328125,-0.04718017578125,,冷环,观测最佳,"(100,200]秒"
2,best,validation,630.5,Cold,time_0_30_s,0.0,30.0,True,True,30,0.43813475917009964,0.38283996582031243,0.07844950358072916,0.7329360961914062,0.748016357421875,0.7377928556681591,0.5987742106119792,0.5987742106119792,1.2532608032226562,1.268341064453125,-0.51641845703125,,冷环,观测最佳,"[0,30]秒"
2,best,validation,630.5,Cold,time_30_100_s,30.0,100.0,False,True,70,0.8681137806919144,0.8564113071986607,-0.8564113071986607,1.0683334350585938,1.081329345703125,0.36487725599381965,0.33608660016741077,-0.33608660016741077,0.5480087280273438,0.561004638671875,-0.845306396484375,,冷环,观测最佳,"(30,100]秒"
2,best,validation,630.5,Cold,time_100_200_s,100.0,200.0,False,True,50,1.3177173899978893,1.29920166015625,-1.29920166015625,1.55872802734375,1.56512451171875,0.809384626898347,0.778876953125,-0.778876953125,1.0384033203125,1.0447998046875,-0.80596923828125,,冷环,观测最佳,"(100,200]秒"
2,final,validation,115.2,Top,time_0_30_s,0.0,30.0,True,True,606,5.914322671413177,5.514643653391218,-5.514643653391218,9.727912902832031,9.9410400390625,3.4015295253701487,3.0378344948142275,3.0378344948142275,5.130889892578125,5.552520751953125,-6.80572509765625,,顶部,训练末,"[0,30]秒"
