方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F3,4,lf_contact_mismatch_coarse,20000,train,e6d9e27e14673cfb4b2208f42140b7a2cb8fe0c6c7c136c79137365a82d8fa73,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.7320542495299832
F3,4,lf_contact_mismatch_coarse,20000,train,e6d9e27e14673cfb4b2208f42140b7a2cb8fe0c6c7c136c79137365a82d8fa73,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.4393066896383369
F3,4,lf_contact_mismatch_coarse,20000,train,e6d9e27e14673cfb4b2208f42140b7a2cb8fe0c6c7c136c79137365a82d8fa73,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.4347480421215104
F1,0,,30000,validation,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.2098658956016837
F1,0,,30000,validation,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.695148167474986
F1,0,,30000,validation,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.6138701183005243
F1,1,,30000,validation,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.125954369342977
F1,1,,30000,validation,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",1.5611953152076796
F1,1,,30000,validation,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.4824446963495385
F1,2,,30000,validation,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"[0,30]",2.073476002670606
F1,2,,30000,validation,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(30,100]",0.9823386055320811
F1,2,,30000,validation,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,"(100,200]",0.46925743484079224
